label,input_ids,attention_mask
1,"tensor([  101,  1026,  5310,  1028,  1045, 14145,  2080,  6796,  3191,  2026,
         5254,  2030,  2025,  1012,  2069,  6796,  1998,  2643,  4282,  2055,
         2008,  1010,  2021,  1045,  3246,  2017,  2097,  3582,  2033,  1001,
         2903,  2321,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  2138,  2115,  7961,  2003,  2061, 12873,  1010,  1045,  2180,
         1005,  1056,  2130, 10416,  2041,  2115,  2171,  2030,  2115,  6302,
         1012, 24529,  2243,  1012,  1026, 24471,  2140,  1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  2074,  2404, 24602,  1999,  1037,  3482,
          999,  8840, 21818,  2094,  1996,  2645,   999,  1001, 13675,  4817,
         2243, 16313,  2818,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1026,  5310,  1028,  4283,  2909,  1028,
         1028,  2123,  1005,  1056,  4440, 13451,  9588,  1012,  1012,  1012,
         2074,  2562, 24341,  8038,  2084,  2290,   999,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1])"
1,"tensor([  101,  5873,  2026,  2567,  1056,  2213,  2099,  2003,  1996,  2190,
         4355,  5798,  5592,  6574,  2121, 12171,   999,   999,   999,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  8038,  2100,   999,   999,  1001,  2166,
         9006, 10814,  3064,  1012,  1056, 28394,  2102,  1013,  9130,  2033,
         2000,  2292,  2033,  2113,  3531,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1])"
1,"tensor([  101,  1026,  5310,  1028,  1001,  1015,  2094,  2638, 18413,  2389,
         8569, 20492,  4183,  2571,  1024,  2514,  2005,  2017,  1013, 11220,
         3597, 24268,  1997,  2166,  1012,  2299,  2522,  3401, 13876,  1024,
         2166,  1010,  1001, 10930,  4135,  1010,  3352,  3297,  1029,  1026,
         1017,  2403,  1001,  3582,  4168, 24759,  2480,   999,  1026,  1017,
         1060, 16068,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1, 1, 1])"
1,"tensor([  101,  2147,  2378,  2524,  2030,  6684,  2147,  2378, 19387,  1026,
         5310,  1028,  2012,  2524,  4402,  1005,  1055,  2007,  2026,  2925,
        11190,  2953,  5484,  1026,  5310,  1028,   102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
        1, 1, 1])"
1,"tensor([ 101, 1026, 5310, 1028, 1045, 2387, 1012, 1045, 1005, 2222, 2022, 7514,
        2075, 1999, 1037, 2978, 1012,  102])","tensor([1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1])"
1,"tensor([ 101, 2023, 2003, 2020, 1045, 7141,  102])","tensor([1, 1, 1, 1, 1, 1, 1])"
